z,volumeWeightedAvg
2.420475000000000057e-02,9.812858957072773114e-01
2.427420500000000009e-02,9.812384800093385540e-01
2.434365999999999960e-02,9.811910596213342384e-01
2.441311499999999912e-02,9.811436474460096813e-01
2.448256500000000127e-02,9.810962369332570931e-01
2.455202000000000079e-02,9.810488215596565587e-01
2.462147500000000030e-02,9.810014142626052314e-01
2.469092999999999982e-02,9.809540022316102226e-01
2.476038499999999934e-02,9.809065983799921673e-01
2.482983500000000149e-02,9.808591961783101887e-01
2.489929000000000101e-02,9.808117890639627134e-01
2.496874500000000052e-02,9.807643899394471454e-01
2.503820000000000004e-02,9.807169859921515132e-01
2.510765499999999956e-02,9.806695901309411267e-01
2.517710500000000171e-02,9.806221958846714770e-01
2.524656000000000122e-02,9.805747966840272500e-01
2.531601500000000074e-02,9.805274054488237745e-01
2.538547000000000026e-02,9.804800093340604317e-01
2.545492499999999977e-02,9.804326211214478004e-01
2.552437999999999929e-02,9.803852279959579530e-01
2.559383499999999881e-02,9.803378428781150955e-01
2.566328500000000096e-02,9.802904592815518958e-01
2.573274000000000047e-02,9.802430706686542372e-01
2.580219499999999999e-02,9.801956899405982471e-01
2.587164999999999951e-02,9.801483042677637814e-01
2.594110499999999903e-02,9.801009265114390967e-01
2.601055500000000117e-02,9.800535502048429715e-01
2.608001000000000069e-02,9.800061688025378803e-01
2.614946500000000021e-02,9.799587952520821821e-01
2.621891999999999973e-02,9.799114167532182451e-01
2.628837499999999924e-02,9.798640461635756971e-01
2.635782500000000139e-02,9.798166770064176134e-01
2.642728000000000091e-02,9.797693026753260259e-01
2.649673500000000043e-02,9.797219361226535694e-01
2.656618999999999994e-02,9.796745645422502147e-01
2.663564499999999946e-02,9.796272008306031731e-01
2.670509500000000161e-02,9.795798385578595724e-01
2.677455000000000113e-02,9.795324711063804202e-01
2.684400500000000064e-02,9.794851114394489411e-01
2.691346000000000016e-02,9.794377466857239201e-01
2.698291499999999968e-02,9.793903896557895061e-01
2.705236999999999919e-02,9.793430275510842664e-01
2.712182499999999871e-02,9.792956732557932531e-01
2.719127500000000086e-02,9.792483203406210368e-01
2.726073000000000038e-02,9.792009622093110766e-01
2.733018499999999990e-02,9.791536117988259846e-01
2.739963999999999941e-02,9.791062562714937245e-01
2.746909499999999893e-02,9.790589084853137392e-01
2.753854500000000108e-02,9.790115620290034126e-01
2.760800000000000060e-02,9.789642103134477136e-01
2.767745500000000011e-02,9.789168663268676962e-01
2.774690999999999963e-02,9.788695172227409591e-01
2.781636499999999915e-02,9.788221758691488805e-01
2.788581500000000130e-02,9.787748358042529517e-01
